"","UGT71C5_pwg","UGT71C5_t.statistic","UGT71C4_pwg","UGT71C4_t.statistic","UGT71C3_pwg","UGT71C3_t.statistic","AT1G50580_pwg","AT1G50580_t.statistic","AT1G64910_pwg","AT1G64910_t.statistic","AT1G64920_pwg","AT1G64920_t.statistic","AT2G18560_pwg","AT2G18560_t.statistic","AT2G18570_pwg","AT2G18570_t.statistic","AT2G22590_pwg","AT2G22590_t.statistic","AT2G22930_pwg","AT2G22930_t.statistic","MAX1_pwg","MAX1_t.statistic","AT2G29710_pwg","AT2G29710_t.statistic","UGT71D1_pwg","UGT71D1_t.statistic","UGT71C2_pwg","UGT71C2_t.statistic","UGT71C1_pwg","UGT71C1_t.statistic","AT2G38240_pwg","AT2G38240_t.statistic","AT2G38240_pwg","AT2G38240_t.statistic","AT3G11180_pwg","AT3G11180_t.statistic","UGT71B1_pwg","UGT71B1_t.statistic","HYR1_pwg","HYR1_t.statistic","UGT71B6_pwg","UGT71B6_t.statistic","AT3G21790_pwg","AT3G21790_t.statistic","UGT71B8_pwg","UGT71B8_t.statistic","AT3G29630_pwg","AT3G29630_t.statistic","UGT72E1_pwg","UGT72E1_t.statistic","TT6_pwg","TT6_t.statistic","TT5_pwg","TT5_t.statistic","JRG21_pwg","JRG21_t.statistic","AT4G09500_pwg","AT4G09500_t.statistic","AT4G15260_pwg","AT4G15260_t.statistic","AT4G16330_pwg","AT4G16330_t.statistic","AT4G22870_pwg","AT4G22870_t.statistic","TT18_pwg","TT18_t.statistic","AT4G27560_pwg","AT4G27560_t.statistic","AT4G27570_pwg","AT4G27570_t.statistic","AT4G36770_pwg","AT4G36770_t.statistic","AT5G05600_pwg","AT5G05600_t.statistic","FLS1_pwg","FLS1_t.statistic","AT5G12270_pwg","AT5G12270_t.statistic","TT4_pwg","TT4_t.statistic","UGT78D3_pwg","UGT78D3_t.statistic","AT5G17040_pwg","AT5G17040_t.statistic","UGT78D2_pwg","UGT78D2_t.statistic","UGT72E3_pwg","UGT72E3_t.statistic","TT3_pwg","TT3_t.statistic","AT5G49690_pwg","AT5G49690_t.statistic","AT5G53990_pwg","AT5G53990_t.statistic","AT5G54010_pwg","AT5G54010_t.statistic","UF3GT_pwg","UF3GT_t.statistic","AT5G65550_pwg","AT5G65550_t.statistic","UGT72E2_pwg","UGT72E2_t.statistic"
"AT3G18960","AT3G18960",0,"ZF2",0,"bHLH121",0,"DDL",0,"NF-YA9",0,"PLT1",0,"bHLH121",0,"bHLH121",0,"ZML1",0,"WIP4",0,"EIN3",0,"PLT1",0,"PLT1",0,"PLT1",0,"WIP4",0,"ERF7",0,"AREB2",0,"NF-YA9",0,"ZF2",0,"ZF2",0,"bHLH121",0,"HAT3.1",0,"AT3G21210",0,"EIN3",0,"VRN1",0,"HAT3.1",0,"bHLH121",0,"WIP4",0,"ERF7",0,"bHLH121",0,"HAT3.1",0,"EIN3",0,"EIN3",0,"DDL",0,"DDL",0,"EIN3",0,"ZF2",0,"AREB2",0,"ZML1",0,"HAT3.1",0,"WIP4",0,"NF-YA9",0,"ZF2",0,"PLT1",0,"EIN3",0,"NF-YA9",0,"AT3G21210",0,"ZML1",0,"EIN3",0,"ZML1",0,"PLT1",0
"VRN1","VRN1",0,"bHLH121",0,"AT3G20280",0,"EIN3",0,"ZML1",0,"WIP4",0,"AT3G20280",0,"AT3G20280",0,"AT3G21210",0,"NF-YA9",0,"PLT1",0,"WIP4",0,"WIP4",0,"WIP4",0,"NF-YA9",0,"DDL",0,"AT3G19360",0,"ZML1",0,"bHLH121",0,"bHLH121",0,"AT3G20280",0,"ZF2",0,"DOF2",0,"PLT1",0,"AREB2",0,"ZF2",0,"AT3G20280",0,"NF-YA9",0,"DDL",0,"AT3G20280",0,"ZF2",0,"PLT1",0,"PLT1",0,"EIN3",0,"EIN3",0,"PLT1",0,"bHLH121",0,"AT3G19360",0,"AT3G21210",0,"ZF2",0,"NF-YA9",0,"ZML1",0,"bHLH121",0,"WIP4",0,"PLT1",0,"ZML1",0,"DOF2",0,"AT3G21210",0,"PLT1",0,"AT3G21210",0,"WIP4",0
"AREB2","AREB2",0,"AT3G20280",0,"ERF7",0,"PLT1",0,"AT3G21210",0,"NF-YA9",0,"ERF7",0,"ERF7",0,"DOF2",0,"ZML1",0,"WIP4",0,"NF-YA9",0,"NF-YA9",0,"NF-YA9",0,"ZML1",0,"EIN3",0,"HAT3.1",0,"AT3G21210",0,"AT3G20280",0,"AT3G20280",0,"ERF7",0,"bHLH121",0,"AT3G21810",0,"WIP4",0,"AT3G19360",0,"bHLH121",0,"ERF7",0,"ZML1",0,"EIN3",0,"ERF7",0,"bHLH121",0,"WIP4",0,"WIP4",0,"PLT1",0,"PLT1",0,"WIP4",0,"AT3G20280",0,"HAT3.1",0,"DOF2",0,"bHLH121",0,"ZML1",0,"AT3G21210",0,"AT3G20280",0,"NF-YA9",0,"WIP4",0,"AT3G21210",0,"AT3G21810",0,"DOF2",0,"WIP4",0,"DOF2",0,"NF-YA9",0
"AT3G19360","AT3G19360",0,"ERF7",0,"DDL",0,"WIP4",0,"DOF2",0,"ZML1",0,"DDL",0,"DDL",0,"AT3G21810",0,"AT3G21210",0,"NF-YA9",0,"ZML1",0,"ZML1",0,"ZML1",0,"AT3G21210",0,"PLT1",0,"ZF2",0,"DOF2",0,"ERF7",0,"ERF7",0,"DDL",0,"AT3G20280",0,"SOL1",0,"NF-YA9",0,"HAT3.1",0,"AT3G20280",0,"DDL",0,"AT3G21210",0,"PLT1",0,"DDL",0,"AT3G20280",0,"NF-YA9",0,"NF-YA9",0,"WIP4",0,"WIP4",0,"NF-YA9",0,"ERF7",0,"ZF2",0,"AT3G21810",0,"AT3G20280",0,"AT3G21210",0,"DOF2",0,"ERF7",0,"ZML1",0,"NF-YA9",0,"DOF2",0,"SOL1",0,"AT3G21810",0,"NF-YA9",0,"AT3G21810",0,"ZML1",0
"HAT3.1","HAT3.1",0,"DDL",0,"EIN3",0,"NF-YA9",0,"AT3G21810",0,"AT3G21210",0,"EIN3",0,"EIN3",0,"SOL1",0,"DOF2",0,"ZML1",0,"AT3G21210",0,"AT3G21210",0,"AT3G21210",0,"DOF2",0,"WIP4",0,"bHLH121",0,"AT3G21810",0,"DDL",0,"DDL",0,"EIN3",0,"ERF7",0,"TSO1",0,"ZML1",0,"ZF2",0,"ERF7",0,"EIN3",0,"DOF2",0,"WIP4",0,"EIN3",0,"ERF7",0,"ZML1",0,"ZML1",0,"NF-YA9",0,"NF-YA9",0,"ZML1",0,"DDL",0,"bHLH121",0,"SOL1",0,"ERF7",0,"DOF2",0,"AT3G21810",0,"DDL",0,"AT3G21210",0,"ZML1",0,"AT3G21810",0,"TSO1",0,"SOL1",0,"ZML1",0,"SOL1",0,"AT3G21210",0
"ZF2","ZF2",0,"EIN3",0,"PLT1",0,"ZML1",0,"SOL1",0,"DOF2",0,"PLT1",0,"PLT1",0,"TSO1",0,"AT3G21810",0,"AT3G21210",0,"DOF2",0,"DOF2",0,"DOF2",0,"AT3G21810",0,"NF-YA9",0,"AT3G20280",0,"SOL1",0,"EIN3",0,"EIN3",0,"PLT1",0,"DDL",0,"HSFA6B",0,"AT3G21210",0,"bHLH121",0,"DDL",0,"PLT1",0,"AT3G21810",0,"NF-YA9",0,"PLT1",0,"DDL",0,"AT3G21210",0,"AT3G21210",0,"ZML1",0,"ZML1",0,"AT3G21210",0,"EIN3",0,"AT3G20280",0,"TSO1",0,"DDL",0,"AT3G21810",0,"SOL1",0,"EIN3",0,"DOF2",0,"AT3G21210",0,"SOL1",0,"HSFA6B",0,"TSO1",0,"AT3G21210",0,"TSO1",0,"DOF2",0
"bHLH121","bHLH121",0,"PLT1",0,"WIP4",0,"AT3G21210",0,"TSO1",0,"AT3G21810",0,"WIP4",0,"WIP4",0,"HSFA6B",0,"SOL1",0,"DOF2",0,"AT3G21810",0,"AT3G21810",0,"AT3G21810",0,"SOL1",0,"ZML1",0,"ERF7",0,"TSO1",0,"PLT1",0,"PLT1",0,"WIP4",0,"EIN3",0,"IAA2",0,"DOF2",0,"AT3G20280",0,"EIN3",0,"WIP4",0,"SOL1",0,"ZML1",0,"WIP4",0,"EIN3",0,"DOF2",0,"DOF2",0,"AT3G21210",0,"AT3G21210",0,"DOF2",0,"PLT1",0,"ERF7",0,"HSFA6B",0,"EIN3",0,"SOL1",0,"TSO1",0,"PLT1",0,"AT3G21810",0,"DOF2",0,"TSO1",0,"IAA2",0,"HSFA6B",0,"DOF2",0,"HSFA6B",0,"AT3G21810",0
"AT3G20280","AT3G20280",0,"WIP4",0,"NF-YA9",0,"DOF2",0,"HSFA6B",0,"SOL1",0,"NF-YA9",0,"NF-YA9",0,"IAA7",0,"TSO1",0,"AT3G21810",0,"SOL1",0,"SOL1",0,"SOL1",0,"TSO1",0,"AT3G21210",0,"DDL",0,"HSFA6B",0,"WIP4",0,"WIP4",0,"NF-YA9",0,"PLT1",0,"IAA7",0,"AT3G21810",0,"ERF7",0,"PLT1",0,"NF-YA9",0,"TSO1",0,"AT3G21210",0,"NF-YA9",0,"PLT1",0,"AT3G21810",0,"AT3G21810",0,"DOF2",0,"DOF2",0,"AT3G21810",0,"WIP4",0,"DDL",0,"IAA2",0,"PLT1",0,"TSO1",0,"HSFA6B",0,"WIP4",0,"SOL1",0,"AT3G21810",0,"HSFA6B",0,"IAA7",0,"IAA2",0,"AT3G21810",0,"IAA2",0,"SOL1",0
"ERF7","ERF7",0,"NF-YA9",0,"ZML1",0,"AT3G21810",0,"IAA2",0,"TSO1",0,"ZML1",0,"ZML1",0,"SUP",0,"HSFA6B",0,"SOL1",0,"TSO1",0,"TSO1",0,"TSO1",0,"HSFA6B",0,"DOF2",0,"EIN3",0,"IAA2",0,"NF-YA9",0,"NF-YA9",0,"ZML1",0,"WIP4",0,"SUP",0,"SOL1",0,"DDL",0,"WIP4",0,"ZML1",0,"HSFA6B",0,"DOF2",0,"ZML1",0,"WIP4",0,"SOL1",0,"SOL1",0,"AT3G21810",0,"AT3G21810",0,"SOL1",0,"NF-YA9",0,"EIN3",0,"IAA7",0,"WIP4",0,"HSFA6B",0,"IAA2",0,"NF-YA9",0,"TSO1",0,"SOL1",0,"IAA7",0,"SUP",0,"IAA7",0,"SOL1",0,"IAA7",0,"TSO1",0
"DDL","DDL",0,"ZML1",0,"AT3G21210",0,"SOL1",0,"IAA7",0,"HSFA6B",0,"AT3G21210",0,"AT3G21210",0,"bHLH34",0,"IAA2",0,"TSO1",0,"HSFA6B",0,"HSFA6B",0,"HSFA6B",0,"IAA2",0,"AT3G21810",0,"PLT1",0,"IAA7",0,"ZML1",0,"ZML1",0,"AT3G21210",0,"NF-YA9",0,"bHLH34",0,"TSO1",0,"EIN3",0,"NF-YA9",0,"AT3G21210",0,"IAA2",0,"AT3G21810",0,"AT3G21210",0,"NF-YA9",0,"TSO1",0,"TSO1",0,"SOL1",0,"SOL1",0,"TSO1",0,"ZML1",0,"PLT1",0,"SUP",0,"NF-YA9",0,"IAA2",0,"IAA7",0,"ZML1",0,"HSFA6B",0,"TSO1",0,"SUP",0,"bHLH34",0,"SUP",0,"TSO1",0,"SUP",0,"HSFA6B",0
"EIN3","EIN3",0,"AT3G21210",0,"DOF2",0,"TSO1",0,"SUP",0,"IAA2",0,"DOF2",0,"DOF2",0,"ESE1",0,"IAA7",0,"HSFA6B",0,"IAA2",0,"IAA2",0,"SUP",0,"IAA7",0,"SOL1",0,"WIP4",0,"SUP",0,"AT3G21210",0,"AT3G21210",0,"DOF2",0,"ZML1",0,"ESE1",0,"HSFA6B",0,"PLT1",0,"ZML1",0,"DOF2",0,"IAA7",0,"SOL1",0,"DOF2",0,"ZML1",0,"HSFA6B",0,"HSFA6B",0,"TSO1",0,"TSO1",0,"HSFA6B",0,"AT3G21210",0,"WIP4",0,"bHLH34",0,"ZML1",0,"IAA7",0,"SUP",0,"AT3G21210",0,"IAA7",0,"HSFA6B",0,"bHLH34",0,"ESE1",0,"bHLH34",0,"HSFA6B",0,"bHLH34",0,"IAA7",0
"PLT1","PLT1",0,"DOF2",0,"AT3G21810",0,"HSFA6B",0,"bHLH34",0,"IAA7",0,"AT3G21810",0,"AT3G21810",0,"AT3G23230",0,"SUP",0,"IAA2",0,"SUP",0,"SUP",0,"bHLH34",0,"SUP",0,"TSO1",0,"NF-YA9",0,"bHLH34",0,"DOF2",0,"DOF2",0,"AT3G21810",0,"AT3G21210",0,"AT3G23230",0,"IAA7",0,"WIP4",0,"AT3G21210",0,"AT3G21810",0,"SUP",0,"TSO1",0,"AT3G21810",0,"AT3G21210",0,"IAA2",0,"IAA2",0,"HSFA6B",0,"HSFA6B",0,"IAA2",0,"DOF2",0,"NF-YA9",0,"ESE1",0,"AT3G21210",0,"SUP",0,"bHLH34",0,"DOF2",0,"SUP",0,"IAA2",0,"ESE1",0,"AT3G23230",0,"ESE1",0,"IAA2",0,"ESE1",0,"SUP",0
"WIP4","WIP4",0,"AT3G21810",0,"SOL1",0,"SUP",0,"ESE1",0,"SUP",0,"SOL1",0,"SOL1",0,"ERF1",0,"bHLH34",0,"IAA7",0,"bHLH34",0,"bHLH34",0,"ESE1",0,"bHLH34",0,"HSFA6B",0,"ZML1",0,"ESE1",0,"AT3G21810",0,"AT3G21810",0,"SOL1",0,"DOF2",0,"ERF1",0,"SUP",0,"NF-YA9",0,"DOF2",0,"SOL1",0,"bHLH34",0,"HSFA6B",0,"SOL1",0,"DOF2",0,"IAA7",0,"IAA7",0,"IAA2",0,"IAA2",0,"SUP",0,"AT3G21810",0,"ZML1",0,"AT3G23230",0,"DOF2",0,"bHLH34",0,"ESE1",0,"AT3G21810",0,"bHLH34",0,"IAA7",0,"AT3G23230",0,"ERF1",0,"AT3G23230",0,"IAA7",0,"AT3G23230",0,"bHLH34",0
"NF-YA9","NF-YA9",0,"SOL1",0,"TSO1",0,"bHLH34",0,"AT3G23230",0,"bHLH34",0,"TSO1",0,"TSO1",0,"MYB15",0,"ESE1",0,"SUP",0,"ESE1",0,"ESE1",0,"AT3G23230",0,"ESE1",0,"SUP",0,"AT3G21210",0,"AT3G23230",0,"SOL1",0,"SOL1",0,"TSO1",0,"AT3G21810",0,"MYB15",0,"bHLH34",0,"ZML1",0,"AT3G21810",0,"TSO1",0,"ESE1",0,"IAA2",0,"TSO1",0,"AT3G21810",0,"SUP",0,"SUP",0,"SUP",0,"SUP",0,"bHLH34",0,"SOL1",0,"AT3G21210",0,"ERF1",0,"AT3G21810",0,"ESE1",0,"AT3G23230",0,"SOL1",0,"ESE1",0,"SUP",0,"ERF1",0,"MYB15",0,"ERF1",0,"SUP",0,"ERF1",0,"ESE1",0
"ZML1","ZML1",0,"TSO1",0,"HSFA6B",0,"ESE1",0,"ERF1",0,"ESE1",0,"HSFA6B",0,"HSFA6B",0,"AT3G23690",0,"AT3G23230",0,"bHLH34",0,"AT3G23230",0,"AT3G23230",0,"ERF1",0,"AT3G23230",0,"bHLH34",0,"DOF2",0,"ERF1",0,"TSO1",0,"TSO1",0,"HSFA6B",0,"SOL1",0,"AT3G23690",0,"ESE1",0,"AT3G21210",0,"SOL1",0,"HSFA6B",0,"AT3G23230",0,"IAA7",0,"HSFA6B",0,"SOL1",0,"bHLH34",0,"bHLH34",0,"bHLH34",0,"bHLH34",0,"ESE1",0,"TSO1",0,"DOF2",0,"MYB15",0,"SOL1",0,"AT3G23230",0,"ERF1",0,"TSO1",0,"AT3G23230",0,"bHLH34",0,"MYB15",0,"AT3G23690",0,"MYB15",0,"bHLH34",0,"MYB15",0,"AT3G23230",0
"AT3G21210","AT3G21210",0,"HSFA6B",0,"IAA2",0,"AT3G23230",0,"MYB15",0,"AT3G23230",0,"SUP",0,"SUP",0,"ING1",0,"ERF1",0,"ESE1",0,"ERF1",0,"ERF1",0,"MYB15",0,"ERF1",0,"ESE1",0,"AT3G21810",0,"MYB15",0,"HSFA6B",0,"HSFA6B",0,"SUP",0,"TSO1",0,"ING1",0,"AT3G23230",0,"DOF2",0,"TSO1",0,"IAA7",0,"ERF1",0,"SUP",0,"SUP",0,"TSO1",0,"ESE1",0,"ESE1",0,"ESE1",0,"ESE1",0,"AT3G23230",0,"HSFA6B",0,"AT3G21810",0,"AT3G23690",0,"TSO1",0,"ERF1",0,"MYB15",0,"HSFA6B",0,"ERF1",0,"ESE1",0,"AT3G23690",0,"ING1",0,"AT3G23690",0,"ESE1",0,"AT3G23690",0,"ERF1",0
"DOF2","DOF2",0,"IAA7",0,"IAA7",0,"ERF1",0,"AT3G23690",0,"ERF1",0,"bHLH34",0,"bHLH34",0,"GATA1",0,"MYB15",0,"AT3G23230",0,"MYB15",0,"MYB15",0,"AT3G23690",0,"MYB15",0,"AT3G23230",0,"SOL1",0,"AT3G23690",0,"IAA7",0,"IAA7",0,"bHLH34",0,"HSFA6B",0,"GATA1",0,"ERF1",0,"AT3G21810",0,"HSFA6B",0,"SUP",0,"MYB15",0,"bHLH34",0,"bHLH34",0,"HSFA6B",0,"AT3G23230",0,"AT3G23230",0,"AT3G23230",0,"AT3G23230",0,"ERF1",0,"SUP",0,"SOL1",0,"ING1",0,"HSFA6B",0,"MYB15",0,"AT3G23690",0,"IAA2",0,"MYB15",0,"AT3G23230",0,"ING1",0,"GATA1",0,"ING1",0,"AT3G23230",0,"ING1",0,"MYB15",0
"AT3G21810","AT3G21810",0,"SUP",0,"SUP",0,"MYB15",0,"ING1",0,"MYB15",0,"ESE1",0,"ESE1",0,"AT3G24120",0,"AT3G23690",0,"ERF1",0,"AT3G23690",0,"AT3G23690",0,"ING1",0,"AT3G23690",0,"ERF1",0,"TSO1",0,"ING1",0,"SUP",0,"SUP",0,"ESE1",0,"SUP",0,"AT3G24120",0,"MYB15",0,"SOL1",0,"SUP",0,"bHLH34",0,"AT3G23690",0,"ESE1",0,"ESE1",0,"IAA2",0,"ERF1",0,"ERF1",0,"ERF1",0,"ERF1",0,"MYB15",0,"bHLH34",0,"TSO1",0,"GATA1",0,"IAA2",0,"AT3G23690",0,"ING1",0,"SUP",0,"AT3G23690",0,"ERF1",0,"GATA1",0,"AT3G24120",0,"GATA1",0,"ERF1",0,"GATA1",0,"AT3G23690",0
"SOL1","SOL1",0,"bHLH34",0,"bHLH34",0,"AT3G23690",0,"GATA1",0,"AT3G23690",0,"AT3G23230",0,"AT3G23230",0,"FMA",0,"ING1",0,"MYB15",0,"ING1",0,"ING1",0,"GATA1",0,"ING1",0,"MYB15",0,"HSFA6B",0,"GATA1",0,"bHLH34",0,"bHLH34",0,"AT3G23230",0,"bHLH34",0,"FMA",0,"AT3G23690",0,"TSO1",0,"bHLH34",0,"ESE1",0,"ING1",0,"AT3G23230",0,"AT3G23230",0,"IAA7",0,"MYB15",0,"MYB15",0,"MYB15",0,"MYB15",0,"AT3G23690",0,"ESE1",0,"HSFA6B",0,"AT3G24120",0,"IAA7",0,"ING1",0,"GATA1",0,"bHLH34",0,"ING1",0,"MYB15",0,"AT3G24120",0,"FMA",0,"AT3G24120",0,"MYB15",0,"AT3G24120",0,"ING1",0
"TSO1","TSO1",0,"ESE1",0,"ESE1",0,"ING1",0,"AT3G24120",0,"ING1",0,"ERF1",0,"ERF1",0,"MYB305",0,"GATA1",0,"AT3G23690",0,"GATA1",0,"GATA1",0,"AT3G24120",0,"GATA1",0,"AT3G23690",0,"IAA7",0,"AT3G24120",0,"ESE1",0,"ESE1",0,"ERF1",0,"ESE1",0,"MYB305",0,"ING1",0,"HSFA6B",0,"ESE1",0,"AT3G23230",0,"GATA1",0,"ERF1",0,"ERF1",0,"SUP",0,"AT3G23690",0,"AT3G23690",0,"AT3G23690",0,"AT3G23690",0,"ING1",0,"AT3G23230",0,"SUP",0,"FMA",0,"SUP",0,"GATA1",0,"AT3G24120",0,"ESE1",0,"GATA1",0,"AT3G23690",0,"FMA",0,"MYB305",0,"FMA",0,"AT3G23690",0,"FMA",0,"GATA1",0
"HSFA6B","HSFA6B",0,"AT3G23230",0,"AT3G23230",0,"GATA1",0,"FMA",0,"GATA1",0,"MYB15",0,"MYB15",0,"AT3G24490",0,"AT3G24120",0,"ING1",0,"AT3G24120",0,"AT3G24120",0,"FMA",0,"AT3G24120",0,"ING1",0,"SUP",0,"FMA",0,"AT3G23230",0,"AT3G23230",0,"MYB15",0,"AT3G23230",0,"AT3G24490",0,"GATA1",0,"SUP",0,"AT3G23230",0,"ERF1",0,"AT3G24120",0,"MYB15",0,"MYB15",0,"bHLH34",0,"ING1",0,"ING1",0,"ING1",0,"ING1",0,"GATA1",0,"ERF1",0,"bHLH34",0,"MYB305",0,"bHLH34",0,"AT3G24120",0,"FMA",0,"AT3G23230",0,"AT3G24120",0,"ING1",0,"MYB305",0,"AT3G24490",0,"MYB305",0,"ING1",0,"MYB305",0,"AT3G24120",0
"SUP","SUP",0,"ERF1",0,"ERF1",0,"AT3G24120",0,"MYB305",0,"AT3G24120",0,"AT3G23690",0,"AT3G23690",0,"MBF1C",0,"FMA",0,"GATA1",0,"FMA",0,"FMA",0,"MYB305",0,"FMA",0,"GATA1",0,"bHLH34",0,"MYB305",0,"ERF1",0,"ERF1",0,"AT3G23690",0,"ERF1",0,"MBF1C",0,"AT3G24120",0,"bHLH34",0,"ERF1",0,"MYB15",0,"FMA",0,"AT3G23690",0,"AT3G23690",0,"ESE1",0,"GATA1",0,"GATA1",0,"GATA1",0,"GATA1",0,"AT3G24120",0,"MYB15",0,"ESE1",0,"AT3G24490",0,"ESE1",0,"FMA",0,"MYB305",0,"ERF1",0,"FMA",0,"GATA1",0,"AT3G24490",0,"MBF1C",0,"AT3G24490",0,"GATA1",0,"AT3G24490",0,"FMA",0
"bHLH34","bHLH34",0,"MYB15",0,"MYB15",0,"FMA",0,"AT3G24490",0,"FMA",0,"ING1",0,"ING1",0,"HSFC1",0,"MYB305",0,"AT3G24120",0,"MYB305",0,"MYB305",0,"AT3G24490",0,"MYB305",0,"AT3G24120",0,"ESE1",0,"AT3G24490",0,"MYB15",0,"MYB15",0,"ING1",0,"MYB15",0,"HSFC1",0,"FMA",0,"ESE1",0,"MYB15",0,"AT3G23690",0,"MYB305",0,"ING1",0,"ING1",0,"AT3G23230",0,"AT3G24120",0,"AT3G24120",0,"AT3G24120",0,"AT3G24120",0,"FMA",0,"AT3G23690",0,"AT3G23230",0,"MBF1C",0,"AT3G23230",0,"MYB305",0,"AT3G24490",0,"MYB15",0,"MYB305",0,"AT3G24120",0,"MBF1C",0,"HSFC1",0,"MBF1C",0,"AT3G24120",0,"MBF1C",0,"MYB305",0
"ESE1","ESE1",0,"AT3G23690",0,"AT3G23690",0,"MYB305",0,"MBF1C",0,"MYB305",0,"GATA1",0,"GATA1",0,"SIS10",0,"AT3G24490",0,"FMA",0,"AT3G24490",0,"AT3G24490",0,"MBF1C",0,"AT3G24490",0,"FMA",0,"AT3G23230",0,"MBF1C",0,"AT3G23690",0,"AT3G23690",0,"GATA1",0,"AT3G23690",0,"SIS10",0,"MYB305",0,"AT3G23230",0,"AT3G23690",0,"ING1",0,"AT3G24490",0,"GATA1",0,"GATA1",0,"ERF1",0,"FMA",0,"FMA",0,"FMA",0,"FMA",0,"MYB305",0,"ING1",0,"ERF1",0,"HSFC1",0,"ERF1",0,"AT3G24490",0,"MBF1C",0,"AT3G23690",0,"AT3G24490",0,"FMA",0,"HSFC1",0,"SIS10",0,"HSFC1",0,"FMA",0,"HSFC1",0,"AT3G24490",0
"AT3G23230","AT3G23230",0,"ING1",0,"ING1",0,"AT3G24490",0,"HSFC1",0,"AT3G24490",0,"AT3G24120",0,"AT3G24120",0,"TMO5",0,"MBF1C",0,"MYB305",0,"MBF1C",0,"MBF1C",0,"HSFC1",0,"MBF1C",0,"MYB305",0,"ERF1",0,"HSFC1",0,"ING1",0,"ING1",0,"AT3G24120",0,"ING1",0,"TMO5",0,"AT3G24490",0,"ERF1",0,"ING1",0,"GATA1",0,"MBF1C",0,"AT3G24120",0,"AT3G24120",0,"MYB15",0,"MYB305",0,"MYB305",0,"MYB305",0,"MYB305",0,"AT3G24490",0,"GATA1",0,"MYB15",0,"SIS10",0,"MYB15",0,"MBF1C",0,"HSFC1",0,"ING1",0,"MBF1C",0,"MYB305",0,"SIS10",0,"TMO5",0,"SIS10",0,"MYB305",0,"SIS10",0,"MBF1C",0
"ERF1","ERF1",0,"GATA1",0,"GATA1",0,"MBF1C",0,"SIS10",0,"MBF1C",0,"FMA",0,"FMA",0,"EDF3",0,"HSFC1",0,"AT3G24490",0,"HSFC1",0,"HSFC1",0,"SIS10",0,"HSFC1",0,"AT3G24490",0,"MYB15",0,"SIS10",0,"GATA1",0,"GATA1",0,"FMA",0,"GATA1",0,"EDF3",0,"MBF1C",0,"MYB15",0,"GATA1",0,"AT3G24120",0,"HSFC1",0,"FMA",0,"FMA",0,"AT3G23690",0,"AT3G24490",0,"AT3G24490",0,"AT3G24490",0,"AT3G24490",0,"MBF1C",0,"AT3G24120",0,"AT3G23690",0,"TMO5",0,"AT3G23690",0,"HSFC1",0,"SIS10",0,"GATA1",0,"HSFC1",0,"AT3G24490",0,"TMO5",0,"EDF3",0,"TMO5",0,"AT3G24490",0,"TMO5",0,"HSFC1",0
"MYB15","MYB15",0,"AT3G24120",0,"AT3G24120",0,"HSFC1",0,"TMO5",0,"HSFC1",0,"MYB305",0,"MYB305",0,"AT3G25790",0,"SIS10",0,"MBF1C",0,"SIS10",0,"SIS10",0,"TMO5",0,"SIS10",0,"MBF1C",0,"AT3G23690",0,"TMO5",0,"AT3G24120",0,"AT3G24120",0,"MYB305",0,"AT3G24120",0,"AT3G25790",0,"HSFC1",0,"AT3G23690",0,"AT3G24120",0,"FMA",0,"SIS10",0,"MYB305",0,"MYB305",0,"ING1",0,"MBF1C",0,"MBF1C",0,"MBF1C",0,"MBF1C",0,"HSFC1",0,"FMA",0,"ING1",0,"EDF3",0,"ING1",0,"SIS10",0,"TMO5",0,"AT3G24120",0,"SIS10",0,"MBF1C",0,"EDF3",0,"AT3G25790",0,"EDF3",0,"MBF1C",0,"EDF3",0,"SIS10",0
"AT3G23690","AT3G23690",0,"FMA",0,"FMA",0,"SIS10",0,"EDF3",0,"SIS10",0,"AT3G24490",0,"AT3G24490",0,"CRF11",0,"TMO5",0,"HSFC1",0,"TMO5",0,"TMO5",0,"EDF3",0,"TMO5",0,"HSFC1",0,"ING1",0,"EDF3",0,"FMA",0,"FMA",0,"AT3G24490",0,"FMA",0,"CRF11",0,"SIS10",0,"ING1",0,"FMA",0,"MYB305",0,"TMO5",0,"AT3G24490",0,"AT3G24490",0,"GATA1",0,"HSFC1",0,"HSFC1",0,"HSFC1",0,"HSFC1",0,"SIS10",0,"MYB305",0,"GATA1",0,"AT3G25790",0,"GATA1",0,"TMO5",0,"EDF3",0,"FMA",0,"TMO5",0,"HSFC1",0,"AT3G25790",0,"CRF11",0,"AT3G25790",0,"HSFC1",0,"AT3G25790",0,"TMO5",0
