"","CCR1_pwg","CCR1_coeff","CCR1_pwg","CCR1_coeff","4CL1_pwg","4CL1_coeff","CSE_pwg","CSE_coeff","4CL3_pwg","4CL3_coeff","CAD1_pwg","CAD1_coeff","CCR2_pwg","CCR2_coeff","HCT_pwg","HCT_coeff","CAD2_pwg","CAD2_coeff","CAD3_pwg","CAD3_coeff","C4H_pwg","C4H_coeff","PAL1_pwg","PAL1_coeff","C3H_pwg","C3H_coeff","PAL4_pwg","PAL4_coeff","CAD4_pwg","CAD4_coeff","4CL5_pwg","4CL5_coeff","4CL2_pwg","4CL2_coeff","PAL2_pwg","PAL2_coeff","CCoAOMT1_pwg","CCoAOMT1_coeff","CAD5_pwg","CAD5_coeff","F5H_pwg","F5H_coeff","CAD6_pwg","CAD6_coeff","CAD7_pwg","CAD7_coeff","CAD8_pwg","CAD8_coeff","CAD9_pwg","CAD9_coeff","PAL3_pwg","PAL3_coeff","COMT1_pwg","COMT1_coeff"
"AT4G31680","AT4G31680",56.2313981735404,"AT3G25790",36.2051990776646,"IAA13",60.3362682774285,"AT1G68200",65.7787132939521,"PAP1",60.589714152028,"MYB6",27.4667022217333,"WRKY48",51.1479752609474,"BLH3",24.4741011610469,"GATA3",52.0918226631936,"GATA3",52.0918226631936,"AT1G68200",54.1383560986526,"ETT",54.0319796750665,"SCL14",58.2281194251568,"bZIP6",69.6816118256674,"AL3",56.361007784133,"MYB16",47.0832836846945,"GTL1",55.9203079262202,"bZIP6",45.65621573085,"GTL1",67.6142081529782,"IAR2",90.1610990403288,"EEL",39.930739250596,"AT1G14580",53.7982190456743,"AT2G38300",95.0166674472768,"NGA4",33.0604931494363,"ATAF1",73.5940899267901,"TLP6",47.0056344510805,"SCRM2",59.9016441462781
"TCX2","TCX2",55.7868186171327,"SMZ",36.1294209217093,"ETT",60.01870471548,"WLIM2b",65.2368475492452,"WOX14",58.8931884009799,"WRKY9",27.1353866845199,"AT3G10040",49.3566975180884,"RAP2.3",24.2374453027085,"AT5G23405",51.7632847587226,"AT5G23405",51.7632847587226,"MYB55",53.6194110451513,"TGA5",53.1129417606173,"MYB43",54.8764574667727,"MYB43",69.5232876431123,"SCL14",54.4039195569712,"HAT3",46.3215892110959,"bZIP6",54.1850607653931,"VAL2",44.125705265537,"AGL87",66.3396422049903,"TGA6",89.2419087352194,"SND3",39.8569219947978,"bZIP6",53.4655607191217,"YAB1",94.6052594648356,"AT3G45260",32.7434716827855,"TGA6",72.4361453946507,"AT2G03710",46.9209017983455,"HSFB1",59.7311031049507
"MYB43","MYB43",53.8907263255279,"HB-1",35.2639181206642,"AT1G68200",59.9556309732481,"VND4",63.6716095412213,"MYB94",58.5882915765229,"MYB31",26.2093608341577,"PDF2",49.2321459228272,"NAC023",24.1434576398008,"NAC003",50.1268410287,"NAC003",50.1268410287,"TIFY10B",52.8251113813869,"AT1G68200",51.8644262157041,"ETT",54.0171029899602,"ZHD1",66.6259796493138,"MYB43",54.3647297654648,"MYB32",46.0976862372627,"ELF6",54.0433791151973,"ERF3",43.0273130622759,"ZHD1",62.5059765480308,"MYB52",89.1606403255071,"HAM4",37.9503751306966,"AT3G07670",53.3841231688047,"AT3G09735",94.3510037187477,"MYB119",32.5526576668644,"ERF3",72.3680685203302,"BPC6",46.5301773075258,"AT3G16280",59.6226162855858
"bZIP6","bZIP6",53.2145522001733,"GATA3",34.6876470819435,"CRF5",57.0900015987852,"TCX2",62.5904640611969,"ARF17",58.5568341110186,"ZHD9",26.0935402690328,"WRKY17",48.9846685909629,"ZAT10",24.1142615531142,"WRKY17",49.9598029564883,"WRKY17",49.9598029564883,"ATML1",52.4973908062373,"AT3G16280",51.7796577743647,"ZHD1",52.4115579713031,"AT3G14740",64.4214587624349,"WRKY48",53.9843516216762,"VAL2",46.0768388376389,"BZIP34",53.5671444093565,"PLIM2b",42.5462661443086,"MYB43",60.4860770101644,"ZHD1",88.4487605053391,"HB-8",37.2862078029634,"AT4G01460",53.1911581513794,"MYB7",93.1579797706721,"TCP4",32.20476255189,"BZIP17",72.1903080695801,"ZFN3",46.2142284804217,"MYB16",59.5396046262164
"ZFP6","ZFP6",51.9233649072809,"AT4G01460",34.6579369017956,"EEL",56.0463080523248,"bZIP6",62.487536409455,"TGA6",57.9873588389408,"AT2G03710",25.7957501168508,"PHL1",48.7095393065542,"AT2G34450",23.9118287258719,"AT1G68520",49.7065911582998,"AT1G68520",49.7065911582998,"ERF3",52.2289626672504,"VAL2",49.6186902129013,"EIN3",50.3506489859979,"MYB16",63.8053387675796,"STOP1",52.1361470061873,"CRF5",45.876265293754,"AT1G14030",52.214723924211,"ETT",39.5475107881159,"EEL",59.2650193951342,"AGL87",87.9607660608665,"AT2G38300",37.0140941573937,"WRKY17",52.7955489170922,"IAA13",90.7353270779288,"WOX6",31.5811911739207,"ANL2",70.9126346900262,"WRKY48",45.4082761477887,"HB-8",57.8121702590096
"bHLH104","bHLH104",50.4503112727386,"TMO7",34.1080484471503,"HSFB1",55.8718427483869,"MYB85",61.9182753195847,"SND2",57.1082946186339,"NAC015",25.6735258494958,"SGR1",47.8632526278896,"TCP5",23.8975662747312,"ARF10",49.5135652867048,"ARF10",49.5135652867048,"VAL2",51.4461422516189,"CRF5",47.5459252797593,"CRF10",50.0387929380157,"HSFB1",63.722659148197,"AT2G38300",50.9475075472369,"AT3G16280",44.3705234789799,"AT5G16470",52.1479693243776,"AT3G10040",39.3962818235428,"AT3G16280",58.7307323663898,"AT5G54630",87.2060609669876,"ERF6",36.4631454156929,"AT3G45260",51.3838121224365,"ZFP8",89.9372394606163,"DOF4.7",31.1990630597675,"VOZ1",70.3204060500603,"UNE12",45.0690026469041,"ARF17",55.8177433863422
"WLIM2b","WLIM2b",48.9761145484964,"IDD7",33.8002906740365,"WRKY32",55.3795443582472,"MYB63",60.1046898562345,"TIFY3B",56.3545449393035,"NF-YC7",24.8850288962567,"NAC2",47.8128188526511,"CIB5",23.8520895408701,"AT2G18850",49.2183721835417,"AT2G18850",49.2183721835417,"AT4G12240",50.8118436219314,"AT5G16470",46.072896547003,"AT1G68520",49.4775629876794,"YAB1",61.5135882929185,"BEE2",50.9247283649335,"AT1G66810",43.9863474617821,"AT4G17810",51.8979915052538,"AT2G38250",38.8088883006025,"AT3G14740",58.0496531395797,"AT5G16470",86.6107678149095,"TGA1",35.9404715835089,"AT1G49010",50.4192019115204,"AT4G17810",88.3374591989224,"MYB60",30.9604271046933,"AT5G23405",69.9427076604242,"WRKY23",44.554849053632,"AT4G31680",55.0530430854457
"AT1G69170","AT1G69170",48.0368347001583,"AT2G17150",32.081149068896,"EIL1",53.4087112727504,"AT1G69170",59.9463289622178,"KNAT6S",56.0706111597468,"TIFY3B",24.8738143504825,"NF-YA8",47.6041271295573,"AT5G58900",23.6303996135677,"WRKY13",49.0915433002661,"WRKY13",49.0915433002661,"CRF5",50.1164368098312,"GTL1",45.7319274033611,"ZIM",49.073365649635,"BEE2",61.3518777871095,"OXS2",50.6294840019185,"EIL1",43.5673481460406,"NST2",51.7985279111304,"MYB52",38.4028332713772,"bZIP58",55.8946597737124,"MYB103",85.9431263653125,"TGA6",35.9216986133474,"CRF5",50.1988531706122,"YAB3",87.523037483775,"AT1G67310",30.1023949820004,"HSFB1",69.6937972735449,"WDY",44.3134625386684,"TCX2",54.6919527073524
"AGL87","AGL87",45.7800945691954,"AT4G14490",31.9635718765551,"HB-8",52.9658636842589,"ATML1",59.7377265941056,"YAB3",55.83119525763,"BZO2H4",24.8038208473957,"AT2G38250",47.3107781814533,"ZAT6",23.5580848419166,"SRS6",49.0025716966196,"SRS6",49.0025716966196,"MYB16",48.4349006261104,"EEL",45.4522420172269,"WRKY32",48.8347450300841,"TCX2",59.3454979629098,"SGR1",48.6986133255075,"AT2G28200",43.4088864570616,"YAB1",51.0442005759206,"ATML1",38.2513329054733,"YAB1",55.4335373551363,"bHLH104",85.6643815916892,"NAC003",35.8661996768256,"VND4",50.1553014051821,"TCP2",85.626933721408,"HB20",30.0464548416289,"NAC001",68.5571964920341,"WRKY45",42.6943771661652,"ETT",53.87464698255
"NF-YB13","NF-YB13",45.5401200535175,"SND2",31.4881244006817,"SCRM",52.1954591059855,"AT5G14260",57.6400032783499,"OXS2",55.0400679015895,"AT2G18850",24.6948902280775,"AT1G49010",47.1178109349881,"CDF1",23.5262696617364,"AT3G11100",48.9994517125432,"AT3G11100",48.9994517125432,"TGA5",46.0845281770186,"TCX2",44.8531503265664,"AT4G16150",48.0213043077018,"ETT",58.9187693372294,"AT4G16150",48.2238852389204,"AT5G16470",42.7520893945121,"BEH1",51.0359983110558,"AT5G16470",37.829888834451,"ZHD4",53.4752984862852,"AT1G67310",84.7840593932776,"KNAT2",34.7180558971824,"SND1",49.9118778604423,"ICU4",83.1053086108025,"AT1G75490",29.9964431104494,"WLIM2b",67.3601300387605,"XND1",42.5670202747469,"IAA13",53.1569072359697
"PDF2","PDF2",44.9243840409968,"E2L2",30.5604724085884,"AT3G14740",49.4532085100488,"WRKY13",56.5816190233844,"YAB1",54.5692267683394,"LBD13",23.913520440022,"AT5G16470",46.7451492467346,"NGA4",23.4243088520378,"AT1G49010",48.7017822020925,"AT1G49010",48.7017822020925,"SCRM2",45.8296638470518,"RR12",44.0535220887573,"VAL2",47.4817347558583,"ERF3",58.1164946660674,"ERF6",47.8731607449236,"AT1G03040",41.8605329826457,"GPRI1",50.742071289525,"GNC",36.9709780831178,"IDD5",53.3982271294547,"AT1G66810",84.6927389389789,"SPL7",34.6235169741694,"SRS6",49.6083903182706,"GTL1",82.6570069258005,"HB-3",29.6551346404355,"EIN3",67.300794360292,"DA1",42.420837348726,"AT3G14740",52.4208415318381
"WAM1","WAM1",44.8816700236249,"ZIM",30.189764839511,"VAL2",49.2069121055133,"CIA2",56.2095127286119,"SND1",52.2627447659893,"AT5G58620",23.8014200269935,"GIF3",44.936907693077,"NAC368",23.397748557525,"HUA1",47.2182556191726,"HUA1",47.2182556191726,"AT5G16470",45.2653644323252,"MYB16",44.0214563014292,"RR12",46.2714424702227,"ATML1",56.9368584614474,"AT1G67310",47.7516994550699,"IDD5",41.7127415350399,"WRKY17",49.9648986464551,"tny",36.8040933421927,"SCL14",52.9251416803774,"AT1G74840",84.5330315707374,"ARF10",34.2968543029131,"HB-8",49.5770150937654,"MYB46",81.5122500248474,"BZIP34",29.3767082985558,"AT2G38250",66.7922013027804,"AT5G25475",42.4104185991415,"EEL",51.972161405883
